id,full_name,year_of_birth,nationality_code
443,Stephen Daldry,1960.0,GB
444,Wen Jiang,1963.0,CN
445,Ernie Gehr,1941.0,US
446,Pippo Delbono,1959.0,IT
447,Luigi Faccini,1939.0,IT
448,Victor Gaviria,1955.0,CO
449,Mohamed Soueid,1959.0,LB
450,Jean-Gabriel Périot,1974.0,FR
451,Peter Mullan,1959.0,GB
452,Joseph Kahn,1972.0,KR
453,Tony Scott,1944.0,GB
