id,title,release_year,rating,duration
246,Brooklyn,2015,7.5,117
247,Nightcrawler,2014,7.9,118
248,Take Shelter,2011,7.4,120
249,Fantastic Mr Fox,2009,7.8,87
250,Senna,2010,8.6,106
251,Frances Ha,2012,7.4,86
252,Dogtooth,2009,7.3,94
253,A Pigeon Sat on a Branch Reflecting on Existence,2014,7.0,101
254,Katyn,2007,7.1,121
255,Sympathy for Mr Vengeance,2002,7.7,129
256,Still Life,2006,7.3,111
257,Archipelago,2010,6.0,114
258,Divine Intervention,2002,6.6,92
259,Crimson Gold,2003,7.6,95
260,Spider-Man 2,2004,7.3,127
261,Frozen,2013,7.5,102
262,Shaun of the Dead,2004,8.0,99
263,Shame,2011,7.2,101
264,Head-On,2004,8.0,121
265,Sideways,2004,7.5,126
266,Dogville,2003,8.0,178
267,Short Term 12,2013,8.0,96
268,Blue Valentine,2010,7.4,112
269,The Squid and the Whale,2005,7.4,81
270,Jersey Boys,2014,6.8,134
271,Nine Queens,2000,7.9,114
272,Mia Madre,2015,6.8,106
273,"Right Now, Wrong Then",2015,7.2,121
274,Adventureland,2009,6.8,107
275,Open Range,2003,7.5,139
276,Profit Motive and the Whispering Wind,2007,7.1,58
277,In Jackson Heights,2015,7.3,190
278,Love Exposure,2008,8.1,237
279,Sicario,2015,7.6,121
280,No,2012,7.4,118
281,Whiplash,2014,8.5,107
282,Animal Kingdom,2010,7.3,113
283,Apocalypto,2006,7.8,139
284,Three Monkeys,2008,7.4,109
285,Listen to Me Marlon,2015,8.2,103
286,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,108
287,Centochiodi,2007,6.4,92
288,United 93,2006,7.6,111
289,Bridesmaids,2011,6.8,125
290,The Look of Silence,2014,8.3,103
291,Punch-Drunk Love,2002,7.3,95
292,We Need to Talk About Kevin,2011,7.5,112
293,Chuck & Buck,2000,6.6,96
294,Gladiator,2000,8.5,155
295,The Century of the Self,2002,9.0,235
296,Munich,2005,7.6,164
297,Lilya 4-Ever,2002,7.9,109
298,Femme Fatale,2002,6.3,114
299,This Is Not a Film,2011,7.5,75
300,Two Lovers,2008,7.1,110
301,Heart of a Dog,2015,7.1,75
302,The Lives of Others,2006,8.5,137
303,Werckmeister Harmonies,2000,8.3,145
304,White Material,2009,7.0,106
305,Even If She Had Been a Criminal...,2006,7.9,9
306,Stranger by the Lake,2013,6.8,100
307,Colossal Youth,2006,7.1,156
