"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39139","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.827","24645054296.3673","25713271276.5957","26223270749.0932","27200902716.6326","28674332043.6993","29921804157.6696","30778452207.7918","",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1521892341.29911","1684234080.11276","1860269752.7397","2056045568.4611","2271962575.53338","2508828226.01874","2736427334.17684","2999072745.59243","3251647561.33258","3543699573.52162","3343492967.60015","3397875172.96432","3279040063.56921","3527183677.14395","2936231243.98055","2501577224.10698","2631288630.38705","2872181242.05004","3279442759.68697","4136666002.23051","4405354121.2219","3998898304.7945","4266780413.60235","4420258718.17184","5046660150.7105","5290372459.1285","5385440464.25151","5546169976.71543","5674270289.55045","6055997165.63318","5959328366.19856","5710122088.03479","5491676643.70137","5508580405.44464","5682040985.73592","5930843434.87724","6181334426.94714","6308808346.48593","6606361640.80548","7078328700.2168","7372025998.97394","7565587912.96966","7770209036.46035","7671935735.02608","7739670045.96444","8002454495.68156","8203865379.27694","8322536114.50224","8129125597.76819","7789713535.38155","7909580000","7958058021.13322","8203695958.53174","8204541517.38771","8161512561.77842","8025734038.97628","",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758315073.13109","3332044623.51029","6296153710.7259","8461374187.43229","9781348252.97942","10720357665.2221","11309977383.532","11807616332.6111","12433420029.7942","12930756839.1116","13719532976.7064","14921121281.1405","15723650301.0536","16624420029.7942","17535688921.9935","17032435468.5807","17163117551.4626","17319001218.8516","17157382448.5374","17568163122.9686","17758228805.5255","18297160278.9816","",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30520269281.4915","30154026050.1138","27259239549.3028","25187537343.5558","22240595474.3598","19927573545.0263","20485545604.2871","22820897803.1758","24737853218.6426","25578940228.0764","27062518761.3049","28341305585.7787","29771200213.8859","31868043206.6573","35516852229.6868","38855436339.2774","42740979973.2051","46416704250.96","51151208084.6036","51253510500.7953","55220932613.958","58282221784.1466","59291315056.9118","59927867090.4525","60960475780.0632","58590516276.1353","",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","98742093.7366163","103572830.694083","108640289.053219","114024973.489308","119726085.231654","125629228.905384","131622804.833065","138089595.343885","148262967.16573","155833829.945459","163325842.646348","169792633.157168","187142560.309493","197158231.973658","223892858.994278","231936936.357146","231858029.223257","246920904.703874","266479033.449065","286510319.722345","329963959.154471","334222605.127475","333276233.016246","326257377.843447","332645318.275427","336194142.373722","351572532.279799","391004133.030491","427123516.974457","483037579.900134","534377596.537448","590471439.925082","661539152.915628","703061079.526275","704171484.905713","708706163.209706","718831608.789709","744315475.008355","772159993.912964","839958509.604343","949478701.635759","997101353.557634","1048138579.0456","1145893620.42047","1199183036.9447","1230106873.94271","1286477263.15678","1300683970.55992","1342676487.22142","1353402836.58604","1398362215.83775","1427745566.49083","1481149093.11469","1500604865.10052","1561881988.5984","1578184929.2745","",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","4818806114.64317","4919036492.89734","5193037910.40623","5526467377.60458","5791437148.39361","6117206515.74639","6514659513.65167","6964748735.89823","6117206515.74639","6306596063.8761","6275389679.04815","6593133763.53181","7118440738.96038","7526979538.09299","7748240229.57966","8314715440.20882","8698403582.82959","9130820021.09161","9318247856.18926","9330673184.44518","9202677499.50688","9228041619.26931","8864573255.43967","8506256408.40363","8489186755.29782","8346875123.98315","8132036793.44817","8332367842.446","8574798536.31777","8899794422.38867","9312370013.51742","9802808040.2996","9964211278.47878","10389612837.8913","10874523732.7785","11383264086.2741","11879726969.6336","12468273441.8074","13095347145.073","13151249273.0727","13481057723.8607","13708051656.1548","14048774291.4454","14429684305.4205","15031877684.0687","15696502103.5842","16449464694.4835","17200265131.7348","18257945157.0139","18870603598.1107","19649692875.5683","20671795294.5239","21730681340.3564","23208056518.1979","24474981109.4815","25661705333.9681","",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","247310662283.767","272724087204.403","286949537646.126","289459406605.959","299548752460.682","308695437352.706","321507410025.781","337310353393.396","375855759983.656","412448426131.431","448619936451.118","499291947869.855","559470618996.975","637677291704.927","695336839630.648","731557463375.625","803179939606.989","840176962228.542","867329041465.823","926014995998.439","1010383853314.77","965994081544.009","971599219248.219","938469692479.613","987919003993.558","1066417682240.15","1151606273747.92","1193059832519.37","1191834885557.38","1230920620284.1","1192733081196.32","1210766456799.68","1205113228273.05","1261333796878.11","1328620300413.35","1387301889795.79","1417927071892.86","1466066102038.4","1471026627286.84","1477926721688.56","1538707417435.78","1560093406615.63","1607727796810.37","1626072083722.29","1719731819479.5","1774799957640.26","1845115804308.01","1957111987492.35","2056813970746.82","2054224996031.67","2208871646202.82","2296661602101.93","2340783923763.47","2409498689703.44","2421641642451.71","2330363850200.41","",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","3268676881.27941","3206572177.25861","3049449880.74186","3064697111.11032","3175026336.54995","3209951884.81407","3373659423.95999","3461374462.38558","3582522685.95309","3711493443.00364","3589014338.63306","3449042479.62127","3252446480.5632","3278466072.71198","3344035398.26709","3411693977.32096","3547011135.42869","3715144730.08351","3854108158.91869","3866667535.86881","4038852542.44302","3943239221.14534","3974435092.92467","4060730166.80774","4117855074.87118","4281126975.22273","4523806549.19438","4603619364.00642","4621850717.64369","4435485769.3516","4446829722.72591","4480456441.65687","4493826100.99087","4490584971.45535","4499498077.67802","4539201914.48807","",
"Brunei Darussalam","BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283756.08334","7101437355.70988","8532759998.47378","9464255572.75005","10105537910.1626","12385592629.3092","11519009536.6055","9235168262.78342","9600572003.8982","9648715573.33076","9706595997.64305","9561894994.71661","9302244605.5931","9489138762.0396","9593269420.59259","9490220634.80403","9593609024.50311","9895418317.48485","10366299793.3796","10397872774.7277","10724927192.6147","11205265277.8452","11527788442.3283","11358194877.7385","11294758371.4583","11639492094.5237","11971150314.9295","12299643565.739","12775897725.9192","13146904063.7455","13213206317.9141","13264408405.2912","13847739967.7348","13869146006.3888","13600124169.2509","13360145119.6923","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","",
